,traffic_delay,hour,day_of_week,minute,duration_seconds,destination,duration_traffic_seconds,distance_meters,origin,is_weekend,timestamp,id,timestamp_5min
0,45,15,5,15,464,"Stasiun Lempuyangan, Yogyakarta",509,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:15:05.661242+07:00,"2025-08-09T15-15-05.661242+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:15:00+07:00
1,28,15,5,15,528,"Stasiun Tugu, Yogyakarta",556,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:15:05.806848+07:00,"2025-08-09T15-15-05.806848+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:15:00+07:00
2,58,15,5,15,518,"Tugu Jogja, Yogyakarta",576,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:15:05.904792+07:00,"2025-08-09T15-15-05.904792+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:15:00+07:00
3,152,15,5,15,589,"Malioboro, Yogyakarta",741,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:15:05.985405+07:00,"2025-08-09T15-15-05.985405+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:15:00+07:00
4,158,15,5,15,1136,"Kota Gede, Yogyakarta",1294,7703,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:15:06.141453+07:00,"2025-08-09T15-15-06.141453+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:15:00+07:00
5,130,15,5,15,1114,"Prawirotaman, Yogyakarta",1244,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:15:06.278787+07:00,"2025-08-09T15-15-06.278787+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:15:00+07:00
6,25,15,5,20,464,"Stasiun Lempuyangan, Yogyakarta",489,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:20:11.979656+07:00,"2025-08-09T15-20-11.979656+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:20:00+07:00
7,32,15,5,20,528,"Stasiun Tugu, Yogyakarta",560,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:20:12.060823+07:00,"2025-08-09T15-20-12.060823+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:20:00+07:00
8,40,15,5,20,518,"Tugu Jogja, Yogyakarta",558,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:20:12.232951+07:00,"2025-08-09T15-20-12.232951+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta",2025-08-09 15:20:00+07:00
9,139,15,5,20,589,"Malioboro, Yogyakarta",728,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:20:12.360341+07:00,"2025-08-09T15-20-12.360341+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta",2025-08-09 15:20:00+07:00
10,114,15,5,20,1143,"Kota Gede, Yogyakarta",1257,7761,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:20:12.522101+07:00,"2025-08-09T15-20-12.522101+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta",2025-08-09 15:20:00+07:00
11,124,15,5,20,1114,"Prawirotaman, Yogyakarta",1238,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:20:12.637055+07:00,"2025-08-09T15-20-12.637055+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta",2025-08-09 15:20:00+07:00
12,22,15,5,25,464,"Stasiun Lempuyangan, Yogyakarta",486,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:25:18.653888+07:00,"2025-08-09T15-25-18.653888+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta",2025-08-09 15:25:00+07:00
13,21,15,5,25,528,"Stasiun Tugu, Yogyakarta",549,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09 15:25:18.810388+07:00,"2025-08-09T15-25-18.810388+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta",2025-08-09 15:25:00+07:00
