traffic_delay,hour,day_of_week,minute,duration_seconds,destination,duration_traffic_seconds,distance_meters,origin,is_weekend,timestamp,id
45,15,5,15,464,"Stasiun Lempuyangan, Yogyakarta",509,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:15:05.661242+07:00,"2025-08-09T15-15-05.661242+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
28,15,5,15,528,"Stasiun Tugu, Yogyakarta",556,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:15:05.806848+07:00,"2025-08-09T15-15-05.806848+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
58,15,5,15,518,"Tugu Jogja, Yogyakarta",576,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:15:05.904792+07:00,"2025-08-09T15-15-05.904792+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
152,15,5,15,589,"Malioboro, Yogyakarta",741,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:15:05.985405+07:00,"2025-08-09T15-15-05.985405+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
158,15,5,15,1136,"Kota Gede, Yogyakarta",1294,7703,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:15:06.141453+07:00,"2025-08-09T15-15-06.141453+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
130,15,5,15,1114,"Prawirotaman, Yogyakarta",1244,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:15:06.278787+07:00,"2025-08-09T15-15-06.278787+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
25,15,5,20,464,"Stasiun Lempuyangan, Yogyakarta",489,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:20:11.979656+07:00,"2025-08-09T15-20-11.979656+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
32,15,5,20,528,"Stasiun Tugu, Yogyakarta",560,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:20:12.060823+07:00,"2025-08-09T15-20-12.060823+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
40,15,5,20,518,"Tugu Jogja, Yogyakarta",558,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:20:12.232951+07:00,"2025-08-09T15-20-12.232951+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
139,15,5,20,589,"Malioboro, Yogyakarta",728,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:20:12.360341+07:00,"2025-08-09T15-20-12.360341+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
114,15,5,20,1143,"Kota Gede, Yogyakarta",1257,7761,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:20:12.522101+07:00,"2025-08-09T15-20-12.522101+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
124,15,5,20,1114,"Prawirotaman, Yogyakarta",1238,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:20:12.637055+07:00,"2025-08-09T15-20-12.637055+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
22,15,5,25,464,"Stasiun Lempuyangan, Yogyakarta",486,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:25:18.653888+07:00,"2025-08-09T15-25-18.653888+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
21,15,5,25,528,"Stasiun Tugu, Yogyakarta",549,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:25:18.810388+07:00,"2025-08-09T15-25-18.810388+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
71,15,5,25,518,"Tugu Jogja, Yogyakarta",589,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:25:19.074331+07:00,"2025-08-09T15-25-19.074331+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
194,15,5,25,589,"Malioboro, Yogyakarta",783,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:25:19.212974+07:00,"2025-08-09T15-25-19.212974+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
166,15,5,25,1141,"Kota Gede, Yogyakarta",1307,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:25:19.433856+07:00,"2025-08-09T15-25-19.433856+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
166,15,5,25,1114,"Prawirotaman, Yogyakarta",1280,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:25:19.710222+07:00,"2025-08-09T15-25-19.710222+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
19,15,5,30,464,"Stasiun Lempuyangan, Yogyakarta",483,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:30:26.093262+07:00,"2025-08-09T15-30-26.093262+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
15,15,5,30,528,"Stasiun Tugu, Yogyakarta",543,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:30:26.211689+07:00,"2025-08-09T15-30-26.211689+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
49,15,5,30,518,"Tugu Jogja, Yogyakarta",567,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:30:26.345203+07:00,"2025-08-09T15-30-26.345203+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
176,15,5,30,589,"Malioboro, Yogyakarta",765,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:30:26.551561+07:00,"2025-08-09T15-30-26.551561+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
167,15,5,30,1141,"Kota Gede, Yogyakarta",1308,7785,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:30:26.737350+07:00,"2025-08-09T15-30-26.737350+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
135,15,5,30,1114,"Prawirotaman, Yogyakarta",1249,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:30:26.890700+07:00,"2025-08-09T15-30-26.890700+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
25,15,5,35,464,"Stasiun Lempuyangan, Yogyakarta",489,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:35:32.091566+07:00,"2025-08-09T15-35-32.091566+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
10,15,5,35,528,"Stasiun Tugu, Yogyakarta",538,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:35:32.178564+07:00,"2025-08-09T15-35-32.178564+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
16,15,5,35,518,"Tugu Jogja, Yogyakarta",534,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:35:32.259605+07:00,"2025-08-09T15-35-32.259605+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
135,15,5,35,589,"Malioboro, Yogyakarta",724,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:35:32.380260+07:00,"2025-08-09T15-35-32.380260+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
168,15,5,35,1142,"Kota Gede, Yogyakarta",1310,7709,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:35:32.545417+07:00,"2025-08-09T15-35-32.545417+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
173,15,5,35,1114,"Prawirotaman, Yogyakarta",1287,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:35:32.755591+07:00,"2025-08-09T15-35-32.755591+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
31,15,5,40,464,"Stasiun Lempuyangan, Yogyakarta",495,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:40:39.120694+07:00,"2025-08-09T15-40-39.120694+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
11,15,5,40,528,"Stasiun Tugu, Yogyakarta",539,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:40:39.328311+07:00,"2025-08-09T15-40-39.328311+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
33,15,5,40,518,"Tugu Jogja, Yogyakarta",551,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:40:39.402430+07:00,"2025-08-09T15-40-39.402430+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
120,15,5,40,589,"Malioboro, Yogyakarta",709,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:40:39.602366+07:00,"2025-08-09T15-40-39.602366+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
107,15,5,40,1143,"Kota Gede, Yogyakarta",1250,7761,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:40:39.789335+07:00,"2025-08-09T15-40-39.789335+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Kota_Gede,_Yogyakarta"
204,15,5,40,1114,"Prawirotaman, Yogyakarta",1318,6342,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:40:39.959802+07:00,"2025-08-09T15-40-39.959802+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Prawirotaman,_Yogyakarta"
23,15,5,45,464,"Stasiun Lempuyangan, Yogyakarta",487,2618,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:45:45.289121+07:00,"2025-08-09T15-45-45.289121+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Lempuyangan,_Yogyakarta"
9,15,5,45,528,"Stasiun Tugu, Yogyakarta",537,3075,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:45:45.419431+07:00,"2025-08-09T15-45-45.419431+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Stasiun_Tugu,_Yogyakarta"
13,15,5,45,518,"Tugu Jogja, Yogyakarta",531,2816,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:45:45.517299+07:00,"2025-08-09T15-45-45.517299+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Tugu_Jogja,_Yogyakarta"
119,15,5,45,589,"Malioboro, Yogyakarta",708,3486,"Universitas Gadjah Mada, Yogyakarta",True,2025-08-09T15:45:45.635699+07:00,"2025-08-09T15-45-45.635699+07-00_Universitas_Gadjah_Mada,_Yogyakarta_Malioboro,_Yogyakarta"
